,Year,Program Area,Program Project,Sub-Program Project,Actuals,Annualized_CR,PresBud,PresBud_vs_Annualized_CR,Enacted,PresBud_vs_Enacted
149,2021,Hazardous Substance Superfund,Homeland Security,"Subtotal, Homeland Security",32506000.0,,34369000.0,,32616000.0,1753000.0
150,2021,Hazardous Substance Superfund,Information Exchange / Outreach,Exchange Network,1424800.0,,1293000.0,,1328000.0,-35000.0
153,2021,Hazardous Substance Superfund,IT / Data Management / Security,"Subtotal, IT / Data Management / Security",14354400.0,,18956000.0,,14485000.0,4471000.0
156,2021,Hazardous Substance Superfund,Legal / Science / Regulatory / Economic Review,"Subtotal, Legal / Science / Regulatory / Economic Review",1088300.0,,608000.0,,1253000.0,-645000.0
162,2021,Hazardous Substance Superfund,Operations and Administration,"Subtotal, Operations and Administration",133290500.0,,130882000.0,,128105000.0,2777000.0
163,2021,Hazardous Substance Superfund,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,11004700.0,,11448000.0,,16463000.0,-5015000.0
164,2021,Hazardous Substance Superfund,Research: Chemical Safety and Sustainability,Health and Environmental Risk Assessment,2864900.0,,6159000.0,,12824000.0,-6665000.0
169,2021,Hazardous Substance Superfund,Superfund Cleanup,"Subtotal, Superfund Cleanup",849960500.0,,682398000.0,,794740000.0,-112342000.0
171,2021,Leaking Underground Storage Tanks,Enforcement,Civil Enforcement,678100.0,,541000.0,,620000.0,-79000.0
175,2021,Leaking Underground Storage Tanks,Operations and Administration,"Subtotal, Operations and Administration",1175700.0,,1384000.0,,1352000.0,32000.0
179,2021,Leaking Underground Storage Tanks,Underground Storage Tanks (LUST / UST),"Subtotal, Underground Storage Tanks (LUST / UST)",96188600.0,,45989000.0,,89649000.0,-43660000.0
180,2021,Leaking Underground Storage Tanks,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,130500.0,,304000.0,,320000.0,-16000.0
182,2021,Inland Oil Spill Programs,Compliance,Compliance Monitoring,82800.0,,0.0,,139000.0,-139000.0
183,2021,Inland Oil Spill Programs,Enforcement,Civil Enforcement,2393300.0,,2462000.0,,2413000.0,49000.0
184,2021,Inland Oil Spill Programs,Oil,"Oil Spill: Prevention, Preparedness and Response",13715100.0,,12965000.0,,15700000.0,-2735000.0
185,2021,Inland Oil Spill Programs,Operations and Administration,Facilities Infrastructure and Operations,577300.0,,682000.0,,665000.0,17000.0
186,2021,Inland Oil Spill Programs,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,599600.0,,522000.0,,664000.0,-142000.0
205,2021,State and Tribal Assistance Grants,State and Tribal Assistance Grants (STAG),"Subtotal, State and Tribal Assistance Grants (STAG)",3025059300.0,,2242963000.0,,3170325000.0,-927362000.0
230,2021,State and Tribal Assistance Grants,Categorical Grants,"Subtotal, Categorical Grants",1042994700.0,,605347000.0,,1075907000.0,-470560000.0
232,2021,State and Tribal Assistance Grants,Congressional Priorities,"Subtotal, Congressional Priorities",619600.0,,0.0,,0.0,0.0
234,2021,Hazardous Waste Electronic Manifest System Fund,Resource Conservation and Recovery Act (RCRA),RCRA: Waste Management,14485500.0,,0.0,,0.0,0.0
236,2021,Water Infrastructure Finance and Innovation Fund,Water Quality Protection,Water Infrastructure Finance and Innovation,32565900.0,,25023000.0,,60000000.0,-34977000.0
245,2020,Science & Technology,Clean Air,"Subtotal, Clean Air",112488200.0,116541000.0,87341000.0,-29200000.0,,
250,2020,Science & Technology,Indoor Air and Radiation,"Subtotal, Indoor Air and Radiation",5840400.0,5997000.0,4783000.0,-1214000.0,,
251,2020,Science & Technology,Enforcement,Forensics Support,12016500.0,13669000.0,10883000.0,-2786000.0,,
255,2020,Science & Technology,Homeland Security,"Subtotal, Homeland Security",32686800.0,33122000.0,32804000.0,-318000.0,,
256,2020,Science & Technology,IT / Data Management / Security,IT / Data Management,2296000.0,3089000.0,2747000.0,-342000.0,,
259,2020,Science & Technology,Operations and Administration,"Subtotal, Operations and Administration",70101600.0,68339000.0,73268000.0,4929000.0,,
263,2020,Science & Technology,Pesticides Licensing,"Subtotal, Pesticides Licensing",5560000.0,6027000.0,5273000.0,-754000.0,,
264,2020,Science & Technology,Research: Air and Energy,Research: Air and Energy,87503900.0,91906000.0,31707000.0,-60199000.0,,
265,2020,Science & Technology,Research: Safe and Sustainable Water Resources,Research: Safe and Sustainable Water Resources,104163500.0,106257000.0,69963000.0,-36294000.0,,
266,2020,Science & Technology,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,131757299.99999999,134327000.0,53631000.0,-80696000.0,,
273,2020,Science & Technology,Research: Chemical Safety and Sustainability,"Subtotal, Research: Chemical Safety and Sustainability",113156600.0,126930000.0,86566000.0,-40364000.0,,
274,2020,Science & Technology,Water: Human Health Protection,Drinking Water Programs,3458200.0,3519000.0,4094000.0,575000.0,,
275,2020,Science & Technology,Congressional Priorities,Water Quality Research and Support Grants,4094000.0,4100000.0,0.0,-4100000.0,,
283,2020,Environmental Program & Management,Clean Air,"Subtotal, Clean Air",268607500.0,273108000.0,155814000.0,-117294000.0,,
288,2020,Environmental Program & Management,Indoor Air and Radiation,"Subtotal, Indoor Air and Radiation",27126000.0,27637000.0,4526000.0,-23111000.0,,
289,2020,Environmental Program & Management,Brownfields,Brownfields,24175600.0,25593000.0,16728000.0,-8865000.0,,
290,2020,Environmental Program & Management,Compliance,Compliance Monitoring,101299200.0,101665000.0,89644000.0,-12021000.0,,
295,2020,Environmental Program & Management,Enforcement,"Subtotal, Enforcement",230788800.0,240637000.0,211566000.0,-29071000.0,,
309,2020,Environmental Program & Management,Geographic Programs,"Subtotal, Geographic Programs",443342600.0,447857000.0,37300000.0,-410557000.0,,
313,2020,Environmental Program & Management,Homeland Security,"Subtotal, Homeland Security",10780700.0,10195000.0,9688000.0,-507000.0,,
323,2020,Environmental Program & Management,Information Exchange / Outreach,"Subtotal, Information Exchange / Outreach",129583600.0,126538000.0,89897000.0,-36641000.0,,
327,2020,Environmental Program & Management,International Programs,"Subtotal, International Programs",14555400.0,15400000.0,5339000.0,-10061000.0,,
330,2020,Environmental Program & Management,IT / Data Management / Security,"Subtotal, IT / Data Management / Security",91481000.0,90536000.0,84890000.0,-5646000.0,,
340,2020,Environmental Program & Management,Legal / Science / Regulatory / Economic Review,"Subtotal, Legal / Science / Regulatory / Economic Review",109097600.0,111414000.0,107842000.0,-3572000.0,,
347,2020,Environmental Program & Management,Operations and Administration,"Subtotal, Operations and Administration",457712100.0,480751000.0,494307000.0,13556000.0,,
352,2020,Environmental Program & Management,Pesticides Licensing,"Subtotal, Pesticides Licensing",103277600.0,109363000.0,85679000.0,-23684000.0,,
353,2020,Environmental Program & Management,Research: Chemical Safety and Sustainability,Research: Chemical Safety and Sustainability,328400.0,0.0,0.0,0.0,,
357,2020,Environmental Program & Management,Resource Conservation and Recovery Act (RCRA),"Subtotal, Resource Conservation and Recovery Act (RCRA)",102334600.0,109377000.0,80015000.0,-29362000.0,,
362,2020,Environmental Program & Management,Toxics Risk Review and Prevention,"Subtotal, Toxics Risk Review and Prevention",93407400.0,92521000.0,66418000.0,-26103000.0,,
363,2020,Environmental Program & Management,Underground Storage Tanks (LUST / UST),LUST / UST,10812600.0,11295000.0,5996000.0,-5299000.0,,
366,2020,Environmental Program & Management,Water: Ecosystems,"Subtotal, Water: Ecosystems",43716300.0,47788000.0,21578000.0,-26210000.0,,
369,2020,Environmental Program & Management,Water: Human Health Protection,"Subtotal, Water: Human Health Protection",93271400.0,98507000.0,89808000.0,-8699000.0,,
372,2020,Environmental Program & Management,Water Quality Protection,"Subtotal, Water Quality Protection",202948500.0,210417000.0,188233000.0,-22184000.0,,
374,2020,Environmental Program & Management,Congressional Priorities,"Subtotal, Congressional Priorities",25400000.0,12700000.0,0.0,-12700000.0,,
376,2020,Inspector General,"Audits, Evaluations, and Investigations","Audits, Evaluations, and Investigations",40328400.0,41489000.0,38893000.0,-2596000.0,,
378,2020,Building and Facilities,Homeland Security,Homeland Security: Protection of EPA Personnel and Infrastructure,5921700.0,6676000.0,6176000.0,-500000.0,,
379,2020,Building and Facilities,Operations and Administration,Facilities Infrastructure and Operations,34605100.0,27791000.0,33377000.0,5586000.0,,
381,2020,Hazardous Substance Superfund,Indoor Air and Radiation,Radiation: Protection,2176900.0,1985000.0,1933000.0,-52000.0,,
382,2020,Hazardous Substance Superfund,"Audits, Evaluations, and Investigations","Audits, Evaluations, and Investigations",9159700.0,8778000.0,9586000.0,808000.0,,
383,2020,Hazardous Substance Superfund,Compliance,Compliance Monitoring,943000.0,995000.0,991000.0,-4000.0,,
389,2020,Hazardous Substance Superfund,Enforcement,"Subtotal, Enforcement",167679300.0,166375000.0,171357000.0,4982000.0,,
392,2020,Hazardous Substance Superfund,Homeland Security,"Subtotal, Homeland Security",32427900.0,32616000.0,31969000.0,-647000.0,,
393,2020,Hazardous Substance Superfund,Information Exchange / Outreach,Exchange Network,1328600.0,1328000.0,1293000.0,-35000.0,,
396,2020,Hazardous Substance Superfund,IT / Data Management / Security,"Subtotal, IT / Data Management / Security",14871800.0,14485000.0,18525000.0,4040000.0,,
400,2020,Hazardous Substance Superfund,Legal / Science / Regulatory / Economic Review,"Subtotal, Legal / Science / Regulatory / Economic Review",1718400.0,1253000.0,579000.0,-674000.0,,
406,2020,Hazardous Substance Superfund,Operations and Administration,"Subtotal, Operations and Administration",125820200.0,128105000.0,124520000.0,-3585000.0,,
407,2020,Hazardous Substance Superfund,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,11023300.0,11463000.0,10977000.0,-486000.0,,
408,2020,Hazardous Substance Superfund,Research: Chemical Safety and Sustainability,Human Health Risk Assessment,2822900.0,2824000.0,5338000.0,2514000.0,,
413,2020,Hazardous Substance Superfund,Superfund Cleanup,"Subtotal, Superfund Cleanup",837161800.0,784740000.0,668283000.0,-116457000.0,,
415,2020,Leaking Underground Storage Tanks,Enforcement,Civil Enforcement,619800.0,620000.0,470000.0,-150000.0,,
419,2020,Leaking Underground Storage Tanks,Operations and Administration,"Subtotal, Operations and Administration",1453400.0,1352000.0,1345000.0,-7000.0,,
423,2020,Leaking Underground Storage Tanks,Underground Storage Tanks (LUST / UST),"Subtotal, Underground Storage Tanks (LUST / UST)",92053100.0,89649000.0,45562000.0,-44087000.0,,
424,2020,Leaking Underground Storage Tanks,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,311300.0,320000.0,424000.0,104000.0,,
426,2020,Inland Oil Spill Programs,Compliance,Compliance Monitoring,122500.0,139000.0,0.0,-139000.0,,
427,2020,Inland Oil Spill Programs,Enforcement,Civil Enforcement,2464800.0,2413000.0,2373000.0,-40000.0,,
428,2020,Inland Oil Spill Programs,Oil,"Oil Spill: Prevention, Preparedness and Response",14690300.0,14409000.0,12413000.0,-1996000.0,,
429,2020,Inland Oil Spill Programs,Operations and Administration,Facilities Infrastructure and Operations,753800.0,584000.0,665000.0,81000.0,,
430,2020,Inland Oil Spill Programs,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,695600.0,664000.0,511000.0,-153000.0,,
449,2020,State and Tribal Assistance Grants,State and Tribal Assistance Grants (STAG),"Subtotal, State and Tribal Assistance Grants (STAG)",3006206800.0,3136120000.0,2194255000.0,-941865000.0,,
474,2020,State and Tribal Assistance Grants,Categorical Grants,"Subtotal, Categorical Grants",1054098300.0,1076041000.0,580347000.0,-495694000.0,,
476,2020,State and Tribal Assistance Grants,Congressional Priorities,"Subtotal, Congressional Priorities",6788800.0,0.0,0.0,0.0,,
478,2020,Hazardous Waste Electronic Manifest System Fund,Resource Conservation and Recovery Act (RCRA),RCRA: Waste Management,2146200.0,0.0,0.0,0.0,,
480,2020,Water Infrastructure Finance and Innovation Fund,Water Quality Protection,Water Infrastructure Finance and Innovation,12235800.0,63000000.0,25000000.0,-38000000.0,,
489,2019,Science & Technology,Clean Air,"Subtotal, Clean Air",118556600.0,115750000.0,84905000.0,-30845000.0,,
494,2019,Science & Technology,Indoor Air and Radiation,"Subtotal, Indoor Air and Radiation",6511900.0,5956000.0,4666000.0,-1290000.0,,
495,2019,Science & Technology,Enforcement,Forensics Support,13228800.0,13576000.0,10486000.0,-3090000.0,,
499,2019,Science & Technology,Homeland Security,"Subtotal, Homeland Security",33549400.0,32897000.0,28177000.0,-4720000.0,,
500,2019,Science & Technology,IT / Data Management / Security,IT / Data Management,3342000.0,3068000.0,2725000.0,-343000.0,,
503,2019,Science & Technology,Operations and Administration,"Subtotal, Operations and Administration",64642700.0,67875000.0,74828000.0,6953000.0,,
507,2019,Science & Technology,Pesticides Licensing,"Subtotal, Pesticides Licensing",5532600.0,5986000.0,5058000.0,-928000.0,,
508,2019,Science & Technology,Research: Air and Energy,Research: Air and Energy,90076200.0,91282000.0,30711000.0,-60571000.0,,
509,2019,Science & Technology,Research: Safe and Sustainable Water Resources,Research: Safe and Sustainable Water Resources,104687600.0,105535000.0,67261000.0,-38274000.0,,
510,2019,Science & Technology,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,142429100.0,133415000.0,52549000.0,-80866000.0,,
516,2019,Science & Technology,Research: Chemical Safety and Sustainability,"Subtotal, Research: Chemical Safety and Sustainability",129699100.0,126068000.0,84004000.0,-42064000.0,,
517,2019,Science & Technology,Water: Human Health Protection,Drinking Water Programs,3517000.0,3495000.0,3595000.0,100000.0,,
519,2019,Science & Technology,Congressional Priorities,"Subtotal, Congressional Priorities",7803400.0,4072000.0,0.0,-4072000.0,,
527,2019,Environmental Program & Management,Clean Air,"Subtotal, Clean Air",264811700.0,271254000.0,142901000.0,-128353000.0,,
532,2019,Environmental Program & Management,Indoor Air and Radiation,"Subtotal, Indoor Air and Radiation",26698200.0,27449000.0,4221000.0,-23228000.0,,
533,2019,Environmental Program & Management,Brownfields,Brownfields,25411800.0,25419000.0,16082000.0,-9337000.0,,
534,2019,Environmental Program & Management,Compliance,Compliance Monitoring,98283600.0,100975000.0,86374000.0,-14601000.0,,
539,2019,Environmental Program & Management,Enforcement,"Subtotal, Enforcement",242848500.0,239003000.0,197280000.0,-41723000.0,,
553,2019,Environmental Program & Management,Geographic Programs,"Subtotal, Geographic Programs",476245400.0,432897000.0,37300000.0,-395597000.0,,
557,2019,Environmental Program & Management,Homeland Security,"Subtotal, Homeland Security",9334900.0,10126000.0,9760000.0,-366000.0,,
567,2019,Environmental Program & Management,Information Exchange / Outreach,"Subtotal, Information Exchange / Outreach",124454000.0,125680000.0,85586000.0,-40094000.0,,
571,2019,Environmental Program & Management,International Programs,"Subtotal, International Programs",15060900.0,15295000.0,4188000.0,-11107000.0,,
574,2019,Environmental Program & Management,IT / Data Management / Security,"Subtotal, IT / Data Management / Security",91746500.0,89921000.0,83019000.0,-6902000.0,,
584,2019,Environmental Program & Management,Legal / Science / Regulatory / Economic Review,"Subtotal, Legal / Science / Regulatory / Economic Review",114606400.0,110656000.0,100652000.0,-10004000.0,,
591,2019,Environmental Program & Management,Operations and Administration,"Subtotal, Operations and Administration",473096700.0,477486000.0,480206000.0,2720000.0,,
596,2019,Environmental Program & Management,Pesticides Licensing,"Subtotal, Pesticides Licensing",100330200.0,101668000.0,79760000.0,-21908000.0,,
600,2019,Environmental Program & Management,Resource Conservation and Recovery Act (RCRA),"Subtotal, Resource Conservation and Recovery Act (RCRA)",103660700.0,104164000.0,73851000.0,-30313000.0,,
605,2019,Environmental Program & Management,Toxics Risk Review and Prevention,"Subtotal, Toxics Risk Review and Prevention",94454900.0,91894000.0,58626000.0,-33268000.0,,
606,2019,Environmental Program & Management,Underground Storage Tanks (LUST / UST),LUST / UST,10654300.0,11218000.0,5615000.0,-5603000.0,,
609,2019,Environmental Program & Management,Water: Ecosystems,"Subtotal, Water: Ecosystems",47207800.0,47464000.0,17913000.0,-29551000.0,,
612,2019,Environmental Program & Management,Water: Human Health Protection,"Subtotal, Water: Human Health Protection",97281200.0,97838000.0,80543000.0,-17295000.0,,
615,2019,Environmental Program & Management,Water Quality Protection,"Subtotal, Water Quality Protection",210283800.0,208988000.0,174975000.0,-34013000.0,,
617,2019,Environmental Program & Management,Congressional Priorities,"Subtotal, Congressional Priorities",12688000.0,12614000.0,0.0,-12614000.0,,
619,2019,Inspector General,"Audits, Evaluations, and Investigations","Audits, Evaluations, and Investigations",41053700.0,41207000.0,37475000.0,-3732000.0,,
621,2019,Building and Facilities,Homeland Security,Homeland Security: Protection of EPA Personnel and Infrastructure,6119200.0,6119200.0,6176000.0,-455000.0,,
622,2019,Building and Facilities,Operations and Administration,Facilities Infrastructure and Operations,26065500.0,27602000.0,33377000.0,5775000.0,,
624,2019,Hazardous Substance Superfund,Indoor Air and Radiation,Radiation: Protection,1833600.0,1972000.0,1972000.0,0.0,,
625,2019,Hazardous Substance Superfund,"Audits, Evaluations, and Investigations","Audits, Evaluations, and Investigations",9156400.0,8718000.0,8718000.0,0.0,,
626,2019,Hazardous Substance Superfund,Compliance,Compliance Monitoring,1028800.0,988000.0,988000.0,0.0,,
632,2019,Hazardous Substance Superfund,Enforcement,"Subtotal, Enforcement",168392700.0,165245000.0,164691000.0,-554000.0,,
635,2019,Hazardous Substance Superfund,Homeland Security,"Subtotal, Homeland Security",35205600.0,32395000.0,32686000.0,291000.0,,
636,2019,Hazardous Substance Superfund,Information Exchange / Outreach,Exchange Network,1316300.0,1319000.0,1319000.0,0.0,,
639,2019,Hazardous Substance Superfund,IT / Data Management / Security,"Subtotal, IT / Data Management / Security",15346400.0,14386000.0,18906000.0,4520000.0,,
642,2019,Hazardous Substance Superfund,Legal / Science / Regulatory / Economic Review,"Subtotal, Legal / Science / Regulatory / Economic Review",1282500.0,1244000.0,577000.0,-667000.0,,
648,2019,Hazardous Substance Superfund,Operations and Administration,"Subtotal, Operations and Administration",122643300.0,127234000.0,124700000.0,-2534000.0,,
649,2019,Hazardous Substance Superfund,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,12717600.0,11385000.0,10885000.0,-500000.0,,
650,2019,Hazardous Substance Superfund,Research: Chemical Safety and Sustainability,Human Health Risk Assessment,3020500.0,2805000.0,5021000.0,2216000.0,,
655,2019,Hazardous Substance Superfund,Superfund Cleanup,"Subtotal, Superfund Cleanup",772755700.0,713683000.0,718367000.0,4684000.0,,
657,2019,Leaking Underground Storage Tanks,Enforcement,Civil Enforcement,584700.0,616000.0,589000.0,-27000.0,,
661,2019,Leaking Underground Storage Tanks,Operations and Administration,"Subtotal, Operations and Administration",1020100.0,1343000.0,1331000.0,-12000.0,,
665,2019,Leaking Underground Storage Tanks,Underground Storage Tanks (LUST / UST),"Subtotal, Underground Storage Tanks (LUST / UST)",90180600.0,89040000.0,45292000.0,-43748000.0,,
666,2019,Leaking Underground Storage Tanks,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,358000.0,318000.0,320000.0,2000.0,,
668,2019,Inland Oil Spill Programs,Compliance,Compliance Monitoring,145200.0,138000.0,0.0,-138000.0,,
669,2019,Inland Oil Spill Programs,Enforcement,Civil Enforcement,2342800.0,2397000.0,2219000.0,-178000.0,,
670,2019,Inland Oil Spill Programs,Oil,"Oil Spill: Prevention, Preparedness and Response",14422500.0,14311000.0,12273000.0,-2038000.0,,
671,2019,Inland Oil Spill Programs,Operations and Administration,Facilities Infrastructure and Operations,376200.0,580000.0,665000.0,85000.0,,
672,2019,Inland Oil Spill Programs,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,653400.0,659000.0,516000.0,-143000.0,,
682,2019,State and Tribal Assistance Grants,State and Tribal Assistance Grants (STAG),"Subtotal, State and Tribal Assistance Grants (STAG)",2504819600.0,2444407000.0,2332120000.0,-112287000.0,,
706,2019,State and Tribal Assistance Grants,Categorical Grants,"Subtotal, Categorical Grants",1048367000.0,1058802000.0,597347000.0,-461455000.0,,
708,2019,State and Tribal Assistance Grants,Congressional Priorities,"Subtotal, Congressional Priorities",4565800.0,0.0,0.0,0.0,,
710,2019,Hazardous Waste Electronic Manifest System Fund,Resource Conservation and Recovery Act (RCRA),RCRA: Waste Management,4915400.0,3156000.0,0.0,-3156000.0,,
712,2019,Water Infrastructure Finance and Innovation Fund,Water Quality Protection,Water Infrastructure Finance and Innovation,3597700.0,12932000.0,20000000.0,7068000.0,,
721,2018,Science & Technology,Clean Air,"Subtotal, Clean Air",108821700.0,116319000.0,85708000.0,30611000.0,,
726,2018,Science & Technology,Indoor Air and Radiation,"Subtotal, Indoor Air and Radiation",6420300.0,5986000.0,3339000.0,2647000.0,,
727,2018,Science & Technology,Enforcement,Forensics Support,13949700.0,13643000.0,10444000.0,3199000.0,,
731,2018,Science & Technology,Homeland Security,"Subtotal, Homeland Security",37158400.0,37052000.0,23097000.0,13955000.0,,
732,2018,Science & Technology,IT / Data Management / Security,IT / Data Management,2892600.0,3083000.0,2725000.0,358000.0,,
735,2018,Science & Technology,Operations and Administration,"Subtotal, Operations and Administration",71332800.0,68209000.0,79334000.0,11125000.0,,
739,2018,Science & Technology,Pesticides Licensing,"Subtotal, Pesticides Licensing",5937000.0,6016000.0,4996000.0,1020000.0,,
740,2018,Science & Technology,Research: Air and Energy,Research: Air and Energy,104407900.0,91731000.0,30592000.0,61139000.0,,
741,2018,Science & Technology,Research: Safe and Sustainable Water Resources,Research: Safe and Sustainable Water Resources,114874900.0,107230000.0,68520000.0,38710000.0,,
742,2018,Science & Technology,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,154349400.0,139709000.0,54211000.0,85498000.0,,
748,2018,Science & Technology,Research: Chemical Safety and Sustainability,"Subtotal, Research: Chemical Safety and Sustainability",129330400.0,126688000.0,84189000.0,42499000.0,,
749,2018,Science & Technology,Water: Human Health Protection,Drinking Water Programs,3975800.0,3512000.0,3657000.0,145000.0,,
751,2018,Science & Technology,Congressional Priorities,"Subtotal, Congressional Priorities",10378500.0,14073000.0,0.0,14073000.0,,
759,2018,Environmental Program & Management,Clean Air,"Subtotal, Clean Air",298318500.0,272589000.0,143167000.0,129422000.0,,
764,2018,Environmental Program & Management,Indoor Air and Radiation,"Subtotal, Indoor Air and Radiation",26150300.0,27583000.0,2257000.0,25326000.0,,
765,2018,Environmental Program & Management,Brownfields,Brownfields,24718600.0,25544000.0,16082000.0,9462000.0,,
766,2018,Environmental Program & Management,Compliance,Compliance Monitoring,103713400.0,101472000.0,86431000.0,15041000.0,,
