Year,Program Area,Program Project,Sub-Program Project,Actuals,Annualized_CR,PresBud,PresBud_vs_Annualized_CR,Enacted,PresBud_vs_Enacted
2021,Hazardous Substance Superfund,Enforcement,Superfund: Federal Facilities Enforcement,6046.9,,7330,,6361,969
2021,Hazardous Substance Superfund,Enforcement,"Subtotal, Enforcement",151231,,179625,,168375,11250
2021,Hazardous Substance Superfund,Homeland Security,"Homeland Security: Preparedness, Response, and Recovery",31526.7,,33454,,31599,1855
2021,Hazardous Substance Superfund,Homeland Security,Homeland Security: Protection of EPA Personnel and Infrastructure,979.3,,915,,1017,-102
2021,Hazardous Substance Superfund,Homeland Security,"Subtotal, Homeland Security",32506,,34369,,32616,1753
2021,Hazardous Substance Superfund,Information Exchange / Outreach,Exchange Network,1424.8,,1293,,1328,-35
2021,Hazardous Substance Superfund,IT / Data Management / Security,Information Security,598.9,,5082,,693,4389
2021,Hazardous Substance Superfund,IT / Data Management / Security,IT / Data Management,13755.5,,13874,,13792,82
2021,Hazardous Substance Superfund,IT / Data Management / Security,"Subtotal, IT / Data Management / Security",14354.4,,18956,,14485,4471
2021,Hazardous Substance Superfund,Legal / Science / Regulatory / Economic Review,Alternative Dispute Resolution,573.3,,0,,710,-710
2021,Hazardous Substance Superfund,Legal / Science / Regulatory / Economic Review,Legal Advice: Environmental Program,515,,608,,543,65
2021,Hazardous Substance Superfund,Legal / Science / Regulatory / Economic Review,"Subtotal, Legal / Science / Regulatory / Economic Review",1088.3,,608,,1253,-645
2021,Hazardous Substance Superfund,Operations and Administration,"Central Planning, Budgeting, and Finance",23772.7,,22462,,21971,491
2021,Hazardous Substance Superfund,Operations and Administration,Facilities Infrastructure and Operations,82243.2,,76831,,76473,358
2021,Hazardous Substance Superfund,Operations and Administration,Acquisition Management,18593.2,,22982,,20533,2449
2021,Hazardous Substance Superfund,Operations and Administration,Human Resources Management,6163.7,,5704,,6548,-844
2021,Hazardous Substance Superfund,Operations and Administration,Financial Assistance Grants / IAG Management,2517.7,,2903,,2580,323
2021,Hazardous Substance Superfund,Operations and Administration,"Subtotal, Operations and Administration",133290.5,,130882,,128105,2777
2021,Hazardous Substance Superfund,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,11004.7,,11448,,16463,-5015
2021,Hazardous Substance Superfund,Research: Chemical Safety and Sustainability,Health and Environmental Risk Assessment,2864.9,,6159,,12824,-6665
2021,Hazardous Substance Superfund,Superfund Cleanup,Superfund: Emergency Response and Removal,215077.1,,170748,,189306,-18558
2021,Hazardous Substance Superfund,Superfund Cleanup,Superfund: EPA Emergency Preparedness,7679.9,,7700,,7636,64
2021,Hazardous Substance Superfund,Superfund Cleanup,Superfund: Federal Facilities,22544.5,,21621,,21125,496
2021,Hazardous Substance Superfund,Superfund Cleanup,Superfund: Remedial,604659,,482329,,576673,-94344
2021,Hazardous Substance Superfund,Superfund Cleanup,"Subtotal, Superfund Cleanup",849960.5,,682398,,794740,-112342
2021,Hazardous Substance Superfund,,"Total, Hazardous Substance Superfund",1209683.4,,1078611,,1184755,-106144
2021,Leaking Underground Storage Tanks,Enforcement,Civil Enforcement,678.1,,541,,620,-79
2021,Leaking Underground Storage Tanks,Operations and Administration,"Central Planning, Budgeting, and Finance",258.3,,450,,321,129
2021,Leaking Underground Storage Tanks,Operations and Administration,Facilities Infrastructure and Operations,847.2,,796,,868,-72
2021,Leaking Underground Storage Tanks,Operations and Administration,Acquisition Management,70.2,,138,,163,-25
2021,Leaking Underground Storage Tanks,Operations and Administration,"Subtotal, Operations and Administration",1175.7,,1384,,1352,32
2021,Leaking Underground Storage Tanks,Underground Storage Tanks (LUST / UST),LUST / UST,10133.9,,7149,,9240,-2091
2021,Leaking Underground Storage Tanks,Underground Storage Tanks (LUST / UST),LUST Cooperative Agreements,59225.6,,38840,,55040,-16200
2021,Leaking Underground Storage Tanks,Underground Storage Tanks (LUST / UST),LUST Prevention,26829.1,,0,,25369,-25369
2021,Leaking Underground Storage Tanks,Underground Storage Tanks (LUST / UST),"Subtotal, Underground Storage Tanks (LUST / UST)",96188.6,,45989,,89649,-43660
2021,Leaking Underground Storage Tanks,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,130.5,,304,,320,-16
2021,Leaking Underground Storage Tanks,,"Total, Leaking Underground Storage Tanks",98172.9,,48218,,91941,-43723
2021,Inland Oil Spill Programs,Compliance,Compliance Monitoring,82.8,,0,,139,-139
2021,Inland Oil Spill Programs,Enforcement,Civil Enforcement,2393.3,,2462,,2413,49
2021,Inland Oil Spill Programs,Oil,"Oil Spill: Prevention, Preparedness and Response",13715.1,,12965,,15700,-2735
2021,Inland Oil Spill Programs,Operations and Administration,Facilities Infrastructure and Operations,577.3,,682,,665,17
2021,Inland Oil Spill Programs,Research: Sustainable Communities,Research: Sustainable and Healthy Communities,599.6,,522,,664,-142
2021,Inland Oil Spill Programs,,"Total, Inland Oil Spill Programs",17368.1,,16631,,19581,-2950
2021,State and Tribal Assistance Grants,State and Tribal Assistance Grants (STAG),Infrastructure Assistance: Alaska Native Villages,24469.5,,3000,,29186,-26186
2021,State and Tribal Assistance Grants,State and Tribal Assistance Grants (STAG),Brownfields Projects,91319.3,,80000,,89000,-9000
2021,State and Tribal Assistance Grants,State and Tribal Assistance Grants (STAG),Infrastructure Assistance: Clean Water,1625444.5,,1119778,,1638826,-519048
2021,State and Tribal Assistance Grants,State and Tribal Assistance Grants (STAG),Infrastructure Assistance: Drinking Water SRF,1131822.3,,863235,,1126088,-262853
2021,State and Tribal Assistance Grants,State and Tribal Assistance Grants (STAG),Infrastructure Assistance: Mexico Border,14653.9,,0,,25000,-25000
2021,State and Tribal Assistance Grants,State and Tribal Assistance Grants (STAG),Diesel Emissions Reduction Grant Program,99701.8,,10000,,87000,-77000
2021,State and Tribal Assistance Grants,State and Tribal Assistance Grants (STAG),Targeted Airshed Grants,31736.7,,0,,56306,-56306
2021,State and Tribal Assistance Grants,State and Tribal Assistance Grants (STAG),Gold King Mine Water Monitoring,4687.3,,0,,4000,-4000
2021,State and Tribal Assistance Grants,State and Tribal Assistance Grants (STAG),Safe Water for Small & Disadvantaged Communities,167,,0,,25408,-25408
2021,State and Tribal Assistance Grants,State and Tribal Assistance Grants (STAG),Reducing Lead in Drinking Water,62,,20000,,19511,489
2021,State and Tribal Assistance Grants,State and Tribal Assistance Grants (STAG),Lead Testing in Schools,995,,15000,,26000,-11000
2021,State and Tribal Assistance Grants,State and Tribal Assistance Grants (STAG),Healthy Schools,0,,50000,,0,50000
2021,State and Tribal Assistance Grants,State and Tribal Assistance Grants (STAG),Drinking Water Infrastructure Resilience and Sustainability,0,,2000,,3000,-1000
2021,State and Tribal Assistance Grants,State and Tribal Assistance Grants (STAG),Drinking Fountain Lead Testing,0,,10000,,0,10000
2021,State and Tribal Assistance Grants,State and Tribal Assistance Grants (STAG),Technical Assistance for Treatment Works,0,,7500,,12000,-4500
2021,State and Tribal Assistance Grants,State and Tribal Assistance Grants (STAG),Sewer Overflow Control Grants,0,,61450,,28000,33450
2021,State and Tribal Assistance Grants,State and Tribal Assistance Grants (STAG),Water Infrastructure and Workforce Investment,0,,1000,,1000,0
2021,State and Tribal Assistance Grants,State and Tribal Assistance Grants (STAG),"Subtotal, State and Tribal Assistance Grants (STAG)",3025059.3,,2242963,,3170325,-927362
2021,State and Tribal Assistance Grants,Categorical Grants,Categorical Grant: Nonpoint Source (Sec. 319),166360,,0,,172348,-172348
2021,State and Tribal Assistance Grants,Categorical Grants,Categorical Grant: Public Water System Supervision (PWSS),96689.7,,67892,,106250,-38358
2021,State and Tribal Assistance Grants,Categorical Grants,Categorical Grant: State and Local Air Quality Management,219874.2,,151961,,228219,-76258
2021,State and Tribal Assistance Grants,Categorical Grants,Categorical Grant: Radon,7453.4,,0,,7789,-7789
2021,State and Tribal Assistance Grants,Categorical Grants,Categorical Grant: Pollution Control (Sec. 106),,,,,,
2021,State and Tribal Assistance Grants,Categorical Grants,Monitoring Grants,17925.5,,11884,,17267,-5383
2021,State and Tribal Assistance Grants,Categorical Grants,Categorical Grant: Pollution Control (Sec. 106) (other activities),207528.7,,141799,,206022,-64223
2021,State and Tribal Assistance Grants,Categorical Grants,"Subtotal, Categorical Grant: Pollution Control (Sec. 106)",225454.2,,153683,,223289,-69606
2021,State and Tribal Assistance Grants,Categorical Grants,Categorical Grant: Wetlands Program Development,12772.7,,9762,,14183,-4421
2021,State and Tribal Assistance Grants,Categorical Grants,Categorical Grant: Underground Injection Control (UIC),9846.2,,6995,,10164,-3169
2021,State and Tribal Assistance Grants,Categorical Grants,Categorical Grant: Pesticides Program Implementation,12435.4,,8457,,12287,-3830
2021,State and Tribal Assistance Grants,Categorical Grants,Categorical Grant: Lead,13291,,10000,,14049,-4049
2021,State and Tribal Assistance Grants,Categorical Grants,Categorical Grant: Hazardous Waste Financial Assistance,101345,,66381,,96446,-30065
2021,State and Tribal Assistance Grants,Categorical Grants,Categorical Grant: Pesticides Enforcement,17510.6,,10531,,24000,-13469
2021,State and Tribal Assistance Grants,Categorical Grants,Categorical Grant: Pollution Prevention,5545.5,,0,,4610,-4610
2021,State and Tribal Assistance Grants,Categorical Grants,Categorical Grant: Toxics Substances Compliance,4597.4,,3276,,4759,-1483
2021,State and Tribal Assistance Grants,Categorical Grants,Categorical Grant: Tribal General Assistance Program,67299,,44233,,65476,-21243
2021,State and Tribal Assistance Grants,Categorical Grants,Categorical Grant: Underground Storage Tanks,1590.1,,0,,1449,-1449
2021,State and Tribal Assistance Grants,Categorical Grants,Categorical Grant: Tribal Air Quality Management,12556.1,,8963,,12829,-3866
2021,State and Tribal Assistance Grants,Categorical Grants,Categorical Grant: Environmental Information,9619.7,,6422,,9332,-2910
2021,State and Tribal Assistance Grants,Categorical Grants,Categorical Grant: Beaches Protection,8985,,0,,9238,-9238
2021,State and Tribal Assistance Grants,Categorical Grants,Categorical Grant: Brownfields,49769.5,,31791,,46190,-14399
2021,State and Tribal Assistance Grants,Categorical Grants,Categorical Grant: Multipurpose Grants,0,,10000,,13000,-3000
2021,State and Tribal Assistance Grants,Categorical Grants,Categorical Grant: Nutrients and Harmful Algal Blooms Reduction Grants,0,,15000,,0,15000
2021,State and Tribal Assistance Grants,Categorical Grants,"Subtotal, Categorical Grants",1042994.7,,605347,,1075907,-470560
2021,State and Tribal Assistance Grants,Congressional Priorities,Congressionally Mandated Projects,619.6,,0,,0,0
2021,State and Tribal Assistance Grants,Congressional Priorities,"Subtotal, Congressional Priorities",619.6,,0,,0,0
2021,State and Tribal Assistance Grants,,"Total, State and Tribal Assistance Grants",4068673.6,,2848310,,4246232,-1397922
2021,Hazardous Waste Electronic Manifest System Fund,Resource Conservation and Recovery Act (RCRA),RCRA: Waste Management,14485.5,,0,,0,0
2021,Hazardous Waste Electronic Manifest System Fund,,"Total, Hazardous Waste Electronic Manifest System Fund",14485.5,,0,,0,0
2021,Water Infrastructure Finance and Innovation Fund,Water Quality Protection,Water Infrastructure Finance and Innovation,32565.9,,25023,,60000,-34977
2021,Water Infrastructure Finance and Innovation Fund,,"Total, Water Infrastructure Finance and Innovation Fund",32565.9,,25023,,60000,-34977
2021,,,"Subtotal, EPA",8799691.4,,6817128,,9057401,-2240273
2021,,,Cancellation of Funds,0,,-159057,,0,-159057
2021,,,"TOTAL, EPA",8799691.4,,6658071,,9057401,-2399330
2020,Science & Technology,Clean Air,Clean Air Allowance Trading Programs,7543.1,7569,5739,-1830,,
2020,Science & Technology,Clean Air,Atmospheric Protection Program,8572.7,8018,0,-8018,,
2020,Science & Technology,Clean Air,Federal Support for Air Quality Management,5722.3,6714,3776,-2938,,
2020,Science & Technology,Clean Air,Federal Vehicle and Fuels Standards and Certification,90650.1,94240,77826,-16414,,
2020,Science & Technology,Clean Air,"Subtotal, Clean Air",112488.2,116541,87341,-29200,,
2020,Science & Technology,Indoor Air and Radiation,Indoor Air: Radon Program,133.5,159,0,-159,,
2020,Science & Technology,Indoor Air and Radiation,Radiation: Protection,2407.4,2246,990,-1256,,
2020,Science & Technology,Indoor Air and Radiation,Radiation: Response Preparedness,3259.5,3266,3793,527,,
2020,Science & Technology,Indoor Air and Radiation,Reduce Risks from Indoor Air,40,326,0,-326,,
2020,Science & Technology,Indoor Air and Radiation,"Subtotal, Indoor Air and Radiation",5840.4,5997,4783,-1214,,
2020,Science & Technology,Enforcement,Forensics Support,12016.5,13669,10883,-2786,,
